Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text
perkASShotgunsRank90Desc,progression,Perk,,,"45.1% bonus entity damage, 45.1% faster reloading, 22.6% less spread, 22.6% less weapon kick, 45.1% better weapon handling and 13.6% bonus player experience.",
perkASShotgunsRank95Desc,progression,Perk,,,"47.5% bonus entity damage, 47.5% faster reloading, 23.8% less spread, 23.8% less weapon kick, 47.5% better weapon handling and 14.3% bonus player experience.",
perkASShotgunsRank100Desc,progression,Perk,,,"50% bonus entity damage, 50% faster reloading, 25% less spread, 25% less weapon kick, 50% better weapon handling and 15% bonus player experience.",
perkShotgunsName,progression,Perk,,,Shotguns,
perkShotgunsDesc,progression,Perk,,,"Specialize with shotguns and send your enemies to meet their maker. Do more damage, blow limbs off, shoot and reload faster.  You find weak spots in a target's armor and can use AP rifle bullets to shoot through multiple organic targets.",
perkShotgunsRank1LongDesc,progression,Perk,,,"Deal 10% more damage, 10% faster fire rate, and 10% faster reload. Stun enemies for 6 seconds.\nIncreases chance to dismember by 5%.  Ignore 15% of armor with shotguns.",
perkShotgunsRank2LongDesc,progression,Perk,,,"Deal 20% more damage, 20% faster fire rate, and 15% faster reload.\nIncreases chance to dismember by 10%.  Ignore 25% of armor with shotguns.\nArmor-piercing rounds can penetrate an additional target or a block of up to 500 hit points.",
perkShotgunsRank3LongDesc,progression,Perk,,,"Deal 30% more damage, 30% faster fire rate, and 20% faster reload. Stun enemies for 8 seconds.  Ignore 35% of armor with shotguns.\nArmor-piercing rounds can penetrate two additional targets or a block of up to 750 hit points.",
perkShotgunsRank4LongDesc,progression,Perk,,,"Deal 40% more damage, 40% faster fire rate, and 25% faster reload.  Ignore 35% of armor with shotguns.\nArmor-piercing rounds can penetrate three additional targets or a block of up to 1000 hit points.",
perkShotgunsRank5LongDesc,progression,Perk,,,"Deal 50% more damage, 50% faster fire rate, and a 30% faster reload.\nLegs shots cripple opponents.  Ignore 35% of armor with shotguns.\nArmor-piercing rounds can penetrate three additional targets or a block of up to 1000 hit points.",
perkRunAndGunShotgunsName,progression,Perk,,,Run and Gun (Shotguns),
perkRunAndGunShotgunsDesc,progression,Perk,,,Improve your hip fire accuracy and run faster while reloading shotguns.,
perkRunAndGunShotgunsRank1LongDesc,progression,Perk,,,Hip fire accuracy is improved by 10% and movement penalty when reloading is reduced 30%.,
perkRunAndGunShotgunsRank2LongDesc,progression,Perk,,,Hip fire accuracy is improved by 17% and movement penalty when reloading is reduced 60%.,
perkRunAndGunShotgunsRank3LongDesc,progression,Perk,,,Hip fire accuracy is improved by 25% and have no movement penalty when reloading.,
perkASMachineGunsName,progression,Perk,,,Action Skills: Machine Guns,
perkASMachineGunsDesc,progression,Perk,,,"Using any machine gun will grant you experience in this skill which will level up over time.  Higher levels will grant higher entity damage, faster reloading, less spread, less weapon kick, better weapon handling and more player experience gain.",
perkASMachineGunsRank1Desc,progression,Perk,,,"1% bonus entity damage, 1% faster reloading, 1% less spread, 1% less weapon kick, 1% better weapon handling and 1% bonus player experience.",
perkASMachineGunsRank5Desc,progression,Perk,,,"3% bonus entity damage, 3% faster reloading, 2% less spread, 2% less weapon kick, 3% better weapon handling and 1.6% bonus player experience.",
perkASMachineGunsRank10Desc,progression,Perk,,,"5.5% bonus entity damage, 5.5% faster reloading, 3.2% less spread, 3.2% less weapon kick, 5.5% better weapon handling and 2.3% bonus player experience.",
perkASMachineGunsRank15Desc,progression,Perk,,,"7.9% bonus entity damage, 7.9% faster reloading, 4.4% less spread, 4.4% less weapon kick, 7.9% better weapon handling and 3% bonus player experience.",
perkASMachineGunsRank20Desc,progression,Perk,,,"10.4% bonus entity damage, 10.4% faster reloading, 5.6% less spread, 5.6% less weapon kick, 10.4% better weapon handling and 3.7% bonus player experience.",
perkASMachineGunsRank25Desc,progression,Perk,,,"12.9% bonus entity damage, 12.9% faster reloading, 6.8% less spread, 6.8% less weapon kick, 12.9% better weapon handling and 4.4% bonus player experience.",
perkASMachineGunsRank30Desc,progression,Perk,,,"15.4% bonus entity damage, 15.4% faster reloading, 8% less spread, 8% less weapon kick, 15.4% better weapon handling and 5.1% bonus player experience.",
perkASMachineGunsRank35Desc,progression,Perk,,,"17.8% bonus entity damage, 17.8% faster reloading, 9.2% less spread, 9.2% less weapon kick, 17.8% better weapon handling and 5.8% bonus player experience.",
perkASMachineGunsRank40Desc,progression,Perk,,,"20.3% bonus entity damage, 20.3% faster reloading, 10.5% less spread, 10.5% less weapon kick, 20.3% better weapon handling and 6.5% bonus player experience.",
perkASMachineGunsRank45Desc,progression,Perk,,,"22.8% bonus entity damage, 22.8% faster reloading, 11.7% less spread, 11.7% less weapon kick, 22.8% better weapon handling and 7.2% bonus player experience.",
perkASMachineGunsRank50Desc,progression,Perk,,,"25.3% bonus entity damage, 25.3% faster reloading, 12.9% less spread, 12.9% less weapon kick, 25.3% better weapon handling and 7.9% bonus player experience.",
perkASMachineGunsRank55Desc,progression,Perk,,,"27.7% bonus entity damage, 27.7% faster reloading, 14.1% less spread, 14.1% less weapon kick, 27.7% better weapon handling and 8.6% bonus player experience.",
perkASMachineGunsRank60Desc,progression,Perk,,,"30.2% bonus entity damage, 30.2% faster reloading, 15.3% less spread, 15.3% less weapon kick, 30.2% better weapon handling and 9.3% bonus player experience.",
perkASMachineGunsRank65Desc,progression,Perk,,,"32.7% bonus entity damage, 32.7% faster reloading, 16.5% less spread, 16.5% less weapon kick, 32.7% better weapon handling and 10.1% bonus player experience.",
perkASMachineGunsRank70Desc,progression,Perk,,,"35.2% bonus entity damage, 35.2% faster reloading, 17.7% less spread, 17.7% less weapon kick, 35.2% better weapon handling and 10.8% bonus player experience.",
perkASMachineGunsRank75Desc,progression,Perk,,,"37.6% bonus entity damage, 37.6% faster reloading, 18.9% less spread, 18.9% less weapon kick, 37.6% better weapon handling and 11.5% bonus player experience.",
perkASMachineGunsRank80Desc,progression,Perk,,,"40.1% bonus entity damage, 40.1% faster reloading, 20.2% less spread, 20.2% less weapon kick, 40.1% better weapon handling and 12.2% bonus player experience.",
perkASMachineGunsRank85Desc,progression,Perk,,,"42.6% bonus entity damage, 42.6% faster reloading, 21.4% less spread, 21.4% less weapon kick, 42.6% better weapon handling and 12.9% bonus player experience.",
perkASMachineGunsRank90Desc,progression,Perk,,,"45.1% bonus entity damage, 45.1% faster reloading, 22.6% less spread, 22.6% less weapon kick, 45.1% better weapon handling and 13.6% bonus player experience.",
perkASMachineGunsRank95Desc,progression,Perk,,,"47.5% bonus entity damage, 47.5% faster reloading, 23.8% less spread, 23.8% less weapon kick, 47.5% better weapon handling and 14.3% bonus player experience.",
perkASMachineGunsRank100Desc,progression,Perk,,,"50% bonus entity damage, 50% faster reloading, 25% less spread, 25% less weapon kick, 50% better weapon handling and 15% bonus player experience.",
perkMachineGunsName,progression,Perk,,,Machine Guns,
perkMachineGunsDesc,progression,Perk,,,Become a commando using assault rifles to slay your foes.  You find weak spots in a target's armor and can use AP rifle bullets to shoot through multiple organic targets.,
perkMachineGunsRank1LongDesc,progression,Perk,,,"Deal 10% more damage, 5% faster fire rate and 10% faster reload.  Ignore 15% of armor with machine guns.",
perkMachineGunsRank2LongDesc,progression,Perk,,,"Deal 20% more damage, 10% faster fire rate and 15% faster reload.  Ignore 25% of armor with machine guns.\nArmor-piercing rounds can penetrate an additional target or a block of up to 500 hit points.",
perkMachineGunsRank3LongDesc,progression,Perk,,,"Deal 30% more damage, 15% faster fire rate and reload 20% faster. Commando Adrenaline: Each shot scored with automatic weapons gives you 2 stamina.  Ignore 35% of armor with machine guns.\nArmor-piercing rounds can penetrate two additional targets or a block of up to 750 hit points.",
perkMachineGunsRank4LongDesc,progression,Perk,,,"Deal 40% more damage, 20% faster fire rate and reload 25% faster. Commando Adrenaline: Each shot scored with automatic weapons gives you 4 stamina.  Ignore 35% of armor with machine guns.\nArmor-piercing rounds can penetrate three additional targets or a block of up to 1000 hit points.",
perkMachineGunsRank5LongDesc,progression,Perk,,,"Deal 50% more damage, 25% faster fire rate and reload 30% faster. Commando Adrenaline: Each shot scored with automatic weapons gives you 6 stamina.  Ignore 35% of armor with machine guns.\nArmor-piercing rounds can penetrate three additional targets or a block of up to 1000 hit points.",
perkRunAndGunMachineGunsName,progression,Perk,,,Run and Gun (Machine Guns),
perkRunAndGunMachineGunsDesc,progression,Perk,,,Improve your hip fire accuracy and run faster while reloading machine guns.,
perkRunAndGunMachineGunsRank1LongDesc,progression,Perk,,,Hip fire accuracy is improved by 10% and movement penalty when reloading is reduced 30%.,
perkRunAndGunMachineGunsRank2LongDesc,progression,Perk,,,Hip fire accuracy is improved by 17% and movement penalty when reloading is reduced 60%.,
perkRunAndGunMachineGunsRank3LongDesc,progression,Perk,,,Hip fire accuracy is improved by 25% and have no movement penalty when reloading.,
perkASBluntWeaponsName,progression,Perk,,,Action Skills: Blunt Weapons,
perkASBluntWeaponsDesc,progression,Perk,,,"Using any blunt weapon will grant you experience in this skill which will level up over time.  Higher levels will grant higher entity damage, less stamina usage, more player experience gain and farther reach.",
perkASBluntWeaponsRank1Desc,progression,Perk,,,"1% bonus entity damage, 1% less stamina usage, 1% bonus player experience.",
perkASBluntWeaponsRank5Desc,progression,Perk,,,"3% bonus entity damage, 2% less stamina usage, 1.6% bonus player experience.",
perkASBluntWeaponsRank10Desc,progression,Perk,,,"5.5% bonus entity damage, 3.2% less stamina usage, 2.3% bonus player experience.",
perkASBluntWeaponsRank15Desc,progression,Perk,,,"7.9% bonus entity damage, 4.4% less stamina usage, 3% bonus player experience.",
perkASBluntWeaponsRank20Desc,progression,Perk,,,"10.4% bonus entity damage, 5.6% less stamina usage, 3.7% bonus player experience.",
perkASBluntWeaponsRank25Desc,progression,Perk,,,"12.9% bonus entity damage, 6.8% less stamina usage, 4.4% bonus player experience.",
perkASBluntWeaponsRank30Desc,progression,Perk,,,"15.4% bonus entity damage, 8% less stamina usage, 5.1% bonus player experience.",
perkASBluntWeaponsRank35Desc,progression,Perk,,,"17.8% bonus entity damage, 9.2% less stamina usage, 5.8% bonus player experience.",
perkASBluntWeaponsRank40Desc,progression,Perk,,,"20.3% bonus entity damage, 10.5% less stamina usage, 6.5% bonus player experience.",
perkASBluntWeaponsRank45Desc,progression,Perk,,,"22.8% bonus entity damage, 11.7% less stamina usage, 7.2% bonus player experience.",
perkASBluntWeaponsRank50Desc,progression,Perk,,,"25.3% bonus entity damage, 12.9% less stamina usage, 7.9% bonus player experience, 1 extra entity range.",
perkASBluntWeaponsRank55Desc,progression,Perk,,,"27.7% bonus entity damage, 14.1% less stamina usage, 8.6% bonus player experience, 1 extra entity range.",
perkASBluntWeaponsRank60Desc,progression,Perk,,,"30.2% bonus entity damage, 15.3% less stamina usage, 9.3% bonus player experience, 1 extra entity range.",
perkASBluntWeaponsRank65Desc,progression,Perk,,,"32.7% bonus entity damage, 16.5% less stamina usage, 10.1% bonus player experience, 1 extra entity range.",
perkASBluntWeaponsRank70Desc,progression,Perk,,,"35.2% bonus entity damage, 17.7% less stamina usage, 10.8% bonus player experience, 1 extra entity range.",
perkASBluntWeaponsRank75Desc,progression,Perk,,,"37.6% bonus entity damage, 18.9% less stamina usage, 11.5% bonus player experience, 1 extra entity range.",
perkASBluntWeaponsRank80Desc,progression,Perk,,,"40.1% bonus entity damage, 20.2% less stamina usage, 12.2% bonus player experience, 1 extra entity range.",
perkASBluntWeaponsRank85Desc,progression,Perk,,,"42.6% bonus entity damage, 21.4% less stamina usage, 12.9% bonus player experience, 1 extra entity range.",
perkASBluntWeaponsRank90Desc,progression,Perk,,,"45.1% bonus entity damage, 22.6% less stamina usage, 13.6% bonus player experience, 1 extra entity range.",
perkASBluntWeaponsRank95Desc,progression,Perk,,,"47.5% bonus entity damage, 23..8% less stamina usage, 14.3% bonus player experience, 1 extra entity range.",
perkASBluntWeaponsRank100Desc,progression,Perk,,,"50% bonus entity damage, 25% less stamina usage, 15% bonus player experience, 2 extra entity range.",
perkSkullCrusher1Name,progression,Perk,,,Skullcrusher,
perkSkullCrusher1Desc,progression,Perk,,,Specialize in destroying enemies with sledgehammers and clubs.,
perkSkullCrusher1Rank1LongDesc,progression,Perk,,,"Increased damage by 10%, increased player experience by 5%, increased stun damage by 40%, 60% to knock foes down, decreased stamina usage by 8% and 15% for power attacks.",
perkSkullCrusher1Rank2LongDesc,progression,Perk,,,"Increased damage by 20%, increased player experience by 10%, increased stun damage by 80%, 70% to knock foes down, decreased stamina usage by 15% and 30% for power attacks.",
perkSkullCrusher1Rank3LongDesc,progression,Perk,,,"Increased damage by 30%, increased player experience by 15%, increased stun damage by 120%, 80% to knock foes down, decreased stamina usage by 20% and 40% for power attacks, killing blows grant 10 stamina, 5 successive hits in a short time cause the last blow to do 100% extra damage.",
perkSkullCrusher1Rank4LongDesc,progression,Perk,,,"Increased damage by 40%, increased player experience by 20%, increased stun damage by 160%, 90% to knock foes down, decreased stamina usage by 25% and 50% for power attacks, killing blows grant 20 stamina, 4 successive hits in a short time cause the last blow to do 100% extra damage.",
perkSkullCrusher1Rank5LongDesc,progression,Perk,,,"Increased damage by 50%, increased player experience by 25%, increased stun damage by 200%, 100% to knock foes down, killing blows grant 30 stamina, 3 successive hits in a short time cause the last blow to do 100% extra damage.",
perkASHeavyArmourName,progression,Perk,,,Action Skills: Heavy Armour,
perkASHeavyArmourDesc,progression,Perk,,,"Wearing any heavy armour will grant you experience in this skill which will level up over time.  Higher levels will grant higher physical damage resistance, increased mobility and increased buff resistance.",
perkASHeavyArmourRank1Desc,progression,Perk,,,"1% increased physical damage resistance, 1% increased mobility, 1% increased buff resistance.",
perkASHeavyArmourRank5Desc,progression,Perk,,,"2% increased physical damage resistance, 1.6% increased mobility, 2% increased buff resistance.",
perkASHeavyArmourRank10Desc,progression,Perk,,,"3.2% increased physical damage resistance, 2.3% increased mobility, 3.2% increased buff resistance.",
perkASHeavyArmourRank15Desc,progression,Perk,,,"4.4% increased physical damage resistance, 3% increased mobility, 4.4% increased buff resistance.",
perkASHeavyArmourRank20Desc,progression,Perk,,,"5.6% increased physical damage resistance, 3.7% increased mobility, 5.6% increased buff resistance.",
perkASHeavyArmourRank25Desc,progression,Perk,,,"6.8% increased physical damage resistance, 4.4% increased mobility, 6.8% increased buff resistance.",
perkASHeavyArmourRank30Desc,progression,Perk,,,"8% increased physical damage resistance, 5.1% increased mobility, 8% increased buff resistance.",
perkASHeavyArmourRank35Desc,progression,Perk,,,"9.2% increased physical damage resistance, 5.8% increased mobility, 9.2% increased buff resistance.",
perkASHeavyArmourRank40Desc,progression,Perk,,,"10.5% increased physical damage resistance, 6.5% increased mobility, 10.5% increased buff resistance.",
perkASHeavyArmourRank45Desc,progression,Perk,,,"11.7% increased physical damage resistance, 7.2% increased mobility, 11.7% increased buff resistance.",
perkASHeavyArmourRank50Desc,progression,Perk,,,"12.9% increased physical damage resistance, 7.9% increased mobility, 12.9% increased buff resistance.",
perkASHeavyArmourRank55Desc,progression,Perk,,,"14.1% increased physical damage resistance, 8.6% increased mobility, 14.1% increased buff resistance.",
perkASHeavyArmourRank60Desc,progression,Perk,,,"15.3% increased physical damage resistance, 9.3% increased mobility, 15.3% increased buff resistance.",
perkASHeavyArmourRank65Desc,progression,Perk,,,"16.5% increased physical damage resistance, 10.1% increased mobility, 16.5% increased buff resistance.",
perkASHeavyArmourRank70Desc,progression,Perk,,,"17.7% increased physical damage resistance, 10.8% increased mobility, 17.7% increased buff resistance.",
perkASHeavyArmourRank75Desc,progression,Perk,,,"18.9% increased physical damage resistance, 11.5% increased mobility, 18.9% increased buff resistance.",
perkASHeavyArmourRank80Desc,progression,Perk,,,"20.2% increased physical damage resistance, 12.2% increased mobility, 20.2% increased buff resistance.",
perkASHeavyArmourRank85Desc,progression,Perk,,,"21.4% increased physical damage resistance, 12.9% increased mobility, 21.4% increased buff resistance.",
perkASHeavyArmourRank90Desc,progression,Perk,,,"22.6% increased physical damage resistance, 13.6% increased mobility, 22.6% increased buff resistance.",
perkASHeavyArmourRank95Desc,progression,Perk,,,"23.8% increased physical damage resistance, 14.3% increased mobility, 23.8% increased buff resistance.",
perkASHeavyArmourRank100Desc,progression,Perk,,,"25% increased physical damage resistance, 15% increased mobility, 25% increased buff resistance.",
perkHeavyArmor1Name,progression,Perk,,,Heavy Armour,
perkHeavyArmor1Desc,progression,Perk,,,"Specialize in shielding yourself with iron and steel, becoming an unstoppable behemoth on the battlefield.",
perkHeavyArmor1Rank1LongDesc,progression,Perk,,,"Increase physical damage resistance by 10%, increased mobility by 7.5%, increased buff resistance by 10%, decrease stamina penalty by 10%, decrease movement penalty by 15%, decrease degradation by 10%.",
perkHeavyArmor1Rank2LongDesc,progression,Perk,,,"Increase physical damage resistance by 15%, increased mobility by 10%, increased buff resistance by 15%, decrease stamina penalty by 20%, decrease movement penalty by 30%, decrease degradation by 25%.",
perkHeavyArmor1Rank3LongDesc,progression,Perk,,,"Increase physical damage resistance by 20%, increased mobility by 12.5%, increased buff resistance by 20%, decrease stamina penalty by 35%, decrease movement penalty by 50%, decrease degradation by 50%.",
perkHeavyArmor1Rank4LongDesc,progression,Perk,,,"Increase physical damage resistance by 25%, increased mobility by 15%, increased buff resistance by 25%, decrease stamina penalty by 50%, decrease movement penalty by 75%, decrease degradation by 75%.",
soldierCraftShotgunsName,progression,Perk,,,Shotguns,
soldierCraftShotgunsDesc,progression,Perk,,,"Purchase this perk to unlock the recipes for crafting shotguns.  Quality of shotgun is increased by reading shotgun crafting magazines.",
soldierCraftShotgunsRank1Desc,progression,Perk,,,Double Barrel & Parts,
soldierCraftShotgunsRank1LongDesc,progression,Perk,,,"Unlocks the recipe for crafting a double barrel shotgun and shotgun parts.",
soldierCraftShotgunsRank2Desc,progression,Perk,,,Pump Shotgun,
soldierCraftShotgunsRank2LongDesc,progression,Perk,,,"Unlocks the recipe for crafting a pump shotgun.",
soldierCraftShotgunsRank3Desc,progression,Perk,,,Auto Shotgun,
soldierCraftShotgunsRank3LongDesc,progression,Perk,,,"Unlocks the recipe for crafting a auto shotgun.",
soldierCraftShotgunsRank4Desc,progression,Perk,,,Remington870,
soldierCraftShotgunsRank4LongDesc,progression,Perk,,,"Unlocks the recipe for crafting a remington870.",
soldierCraftShotgunsRank5Desc,progression,Perk,,,USAS12,
soldierCraftShotgunsRank5LongDesc,progression,Perk,,,"Unlocks the recipe for crafting a usas12.",
soldierCraftMachineGunsName,progression,Perk,,,Machine Guns,
soldierCraftMachineGunsDesc,progression,Perk,,,"Purchase this perk to unlock the recipes for crafting machine guns.  Quality of machine guns is increased by reading machine guns crafting magazines.",
soldierCraftMachineGunsRank1Desc,progression,Perk,,,AK47 & Parts,
soldierCraftMachineGunsRank1LongDesc,progression,Perk,,,"Unlocks the recipe for crafting a ak47 and machine gun parts.",
soldierCraftMachineGunsRank2Desc,progression,Perk,,,Tactical AR,
soldierCraftMachineGunsRank2LongDesc,progression,Perk,,,"Unlocks the recipe for crafting a tactical ar.",
soldierCraftMachineGunsRank3Desc,progression,Perk,,,M60,
soldierCraftMachineGunsRank3LongDesc,progression,Perk,,,"Unlocks the recipe for crafting a m60.",
soldierCraftMachineGunsRank4Desc,progression,Perk,,,UMP45,
soldierCraftMachineGunsRank4LongDesc,progression,Perk,,,"Unlocks the recipe for crafting a ump45.",
soldierCraftMachineGunsRank5Desc,progression,Perk,,,P90,
soldierCraftClubsRank5LongDesc,progression,Perk,,,"Unlocks the recipe for crafting a p90.",
soldierCraftClubsName,progression,Perk,,,Clubs,
soldierCraftClubsDesc,progression,Perk,,,"Purchase this perk to unlock the recipes for crafting clubs.  Quality of clubs is increased by reading club crafting magazines.",
soldierCraftClubsRank1Desc,progression,Perk,,,Iron Clubs & Parts,
soldierCraftClubsRank1LongDesc,progression,Perk,,,"Unlocks the recipes for crafting a iron club, baseball bat and club parts.",
soldierCraftClubsRank2Desc,progression,Perk,,,Steel Clubs,
soldierCraftClubsRank2LongDesc,progression,Perk,,,"Unlocks the recipes for crafting a steel club and steel baseball bat.",
soldierCraftClubsRank3Desc,progression,Perk,,,Tungsten Clubs,
soldierCraftClubsRank3LongDesc,progression,Perk,,,"Unlocks the recipes for crafting a tungsten club and tungsten baseball bat.",
soldierCraftClubsRank4Desc,progression,Perk,,,Gold Tipped Clubs,
soldierCraftClubsRank4LongDesc,progression,Perk,,,"Unlocks the recipes for crafting a gold tipped club and gold tipped baseball bat.",
soldierCraftSledgeName,progression,Perk,,,Sledgehammers,
soldierCraftSledgeDesc,progression,Perk,,,"Purchase this perk to unlock the recipes for crafting sledgehammers.  Quality of sledgehammers is increased by reading sledgehammer crafting magazines.",
soldierCraftSledgeRank1Desc,progression,Perk,,,Iron Sledgehammer & Parts,
soldierCraftSledgeRank1LongDesc,progression,Perk,,,"Unlocks the recipe for crafting a iron sledgehammer and sledgehammer parts.",
soldierCraftSledgeRank2Desc,progression,Perk,,,Steel Sledgehammer,
soldierCraftSledgeRank2LongDesc,progression,Perk,,,"Unlocks the recipe for crafting a steel sledgehammer.",
soldierCraftSledgeRank3Desc,progression,Perk,,,Tungsten Sledgehammer,
soldierCraftSledgeRank3LongDesc,progression,Perk,,,"Unlocks the recipe for crafting a tungsten sledgehammer.",
soldierCraftSledgeRank4Desc,progression,Perk,,,Gold Tipped Sledgehammer,
soldierCraftSledgeRank4LongDesc,progression,Perk,,,"Unlocks the recipe for crafting a gold tipped sledgehammer.",
soldierCraftHeavyArmourName,progression,Perk,,,Heavy Armour,
soldierCraftHeavyArmourDesc,progression,Perk,,,"Purchase this recipe to unlock the recipes for crafting heavy armours.  Which include miner, nomad, nerd and raider.  Quality of armour is increased by reading armour crafting magazines.",
soldierCraftHeavyArmourRank1Desc,progression,Perk,,,Heavy Armour,
soldierCraftHeavyArmourRank1LongDesc,progression,Perk,,,"Unlocks the recipes for crafting heavy armours.",
perkSlowMetabolism1Name,progression,Perk,,,Iron Gut,
perkSlowMetabolism1Desc,progression,Perk,,,Specialize in gastrointestinal health to use less calories and gain more benefits from food. Use less oxygen while diving.,
perkSlowMetabolism1Rank1LongDesc,progression,Perk,,,Reduce food and water loss from physical exertion by 5%.\nHold your breath for 84 seconds. Chance of Dysentery is reduced by 1%. Buffs from consumables last 10% longer.,
perkSlowMetabolism1Rank2LongDesc,progression,Perk,,,Reduce food and water loss from physical exertion by 10%.\nHold your breath for 108 seconds. Chance of Dysentery is reduced by 2%. Buffs from consumables last 20% longer.,
perkSlowMetabolism1Rank3LongDesc,progression,Perk,,,Reduce food and water loss from physical exertion by 15%.\nHold your breath for 132 seconds. Chance of Dysentery is reduced by 3%. Buffs from consumables last 30% longer.,
perkSlowMetabolism1Rank4LongDesc,progression,Perk,,,Reduce food and water loss from physical exertion by 20%.\nHold your breath for 156 seconds. Chance of Dysentery is reduced by 4%. Buffs from consumables last 40% longer.,
perkSlowMetabolism1Rank5LongDesc,progression,Perk,,,Reduce food and water loss from physical exertion by 25%.\nHold your breath for 180 seconds. Chance of Dysentery is reduced by 5%. Buffs from consumables last 50% longer.,
perkMasterChef1Name,progression,Perk,,,Master Chef,
perkMasterChef1Desc,progression,Perk,,,Create more filling meals with advanced benefits and learn to cook faster.,
perkMasterChef1Rank1LongDesc,progression,Perk,,,Cook 10% faster.,
perkMasterChef1Rank2LongDesc,progression,Perk,,,Cook 30% faster.  Use 20% less of a recipe's main ingredients.  Find salvagable food in dumpsters.,
perkMasterChef1Rank3LongDesc,progression,Perk,,,Cook 50% faster.,
perkLivingOffTheLand1Name,progression,Perk,,,Living off the Land,
perkLivingOffTheLand1Desc,progression,Perk,,,Specialize in harvesting more crops using your hands or a tool.,
perkLivingOffTheLand1Rank1LongDesc,progression,Perk,,,Harvest 2 items from wild or planted crops.\nFarm plots cost 30% less to craft.\nEnables full harvest when using a grass collector mod in a lawn mower.,
perkLivingOffTheLand1Rank2LongDesc,progression,Perk,,,Farm plots cost 50% less to craft. 50% to get harvest 1 additional crop.\nEnables full harvest when using a plant collector mod in a lawn mower.,
perkLivingOffTheLand1Rank3LongDesc,progression,Perk,,,Harvest 3 items from wild or planted crops. Adds a additional 20% chance to get a seed back from a harvest.\nEnables the full harvest when using a crop harvest mod in a lawn mower.,
survivalistCraftBirdnestTreeName,progression,Perk,,,Bird's Nest,
survivalistCraftBirdnestTreeDesc,progression,Perk,,,"Purchase this perk to unlock the recipe for crafting a bird's nest.",
survivalistCraftBirdnestTreeRank1Desc,progression,Perk,,,Bird's Nest,
survivalistCraftBirdnestTreeRank1LongDesc,progression,Perk,,,"Unlocks the recipe for crafting a bird's nest.",
survivalistCraftFarmPlotName,progression,Perk,,,Farmplot,
survivalistCraftFarmPlotDesc,progression,Perk,,,"Purchase this perk to unlock the recipe for crafting a farmplot.",
survivalistCraftFarmPlotRank1Desc,progression,Perk,,,Farmplot,
survivalistCraftFarmPlotRank1LongDesc,progression,Perk,,,"Unlocks the recipe for crafting a farmplot.",
survivalistCraftHoesName,progression,Perk,,,Hoes,
survivalistCraftHoesDesc,progression,Perk,,,"Purchase this perk to unlock the recipes for crafting hoes.",
survivalistCraftHoesRank1Desc,progression,Perk,,,Iron Hoe,
survivalistCraftHoesRank1LongDesc,progression,Perk,,,"Unlocks the recipe for crafting a iron hoe.",
survivalistCraftHoesRank2Desc,progression,Perk,,,Steel Hoe & Parts,
survivalistCraftHoesRank2LongDesc,progression,Perk,,,"Unlocks the recipe for crafting a steel hoe and parts.",
survivalistCraftFertFarmGearName,progression,Perk,,,Fertilized Farm Gear,
survivalistCraftFertFarmGearDesc,progression,Perk,,,"Purchase this perk to unlock the recipes for crafting items needed for fertilized farming.",
survivalistCraftFertFarmGearRank1Desc,progression,Perk,,,Fertilizer and Water Pipes,
survivalistCraftFertFarmGearRank1LongDesc,progression,Perk,,,"Unlocks the recipes for crafting fertilizer and water pipes.",
survivalistCraftFertFarmGearRank2Desc,progression,Perk,,,Water Barrel,
survivalistCraftFertFarmGearRank2LongDesc,progression,Perk,,,"Unlocks the recipe for crafting a water barrel.",
survivalistCraftFishingName,progression,Perk,,,Fishing,
survivalistCraftFishingDesc,progression,Perk,,,"Purchase this perk to unlock the recipes for crafting fishing gear.",
survivalistCraftFishingRank1Desc,progression,Perk,,,Fishing Gear,
survivalistCraftFishingRank1LongDesc,progression,Perk,,,"Unlocks the recipes for crafting bugnet, fishing pole, fishing spool and iron hook.",
survivalistCraftCookingAppliancesName,progression,Perk,,,Cooking Appliances,
survivalistCraftCookingAppliancesDesc,progression,Perk,,,"Purchase this perk to unlock the recipes for crafting cooking appliances.",
survivalistCraftCookingAppliancesRank1Desc,progression,Perk,,,Food Processing Table, Coffee Maker and Microwave,
survivalistCraftCookingAppliancesRank1LongDesc,progression,Perk,,,"Unlocks the recipes for crafting a food processing table, coffee maker and a microwave.",
survivalistCraftCookingAppliancesRank2Desc,progression,Perk,,,Player Oven and Brewery,
survivalistCraftCookingAppliancesRank2LongDesc,progression,Perk,,,"Unlocks the recipes for crafting a player oven and a brewery.",
survivalistCraftPlantCollectorName,progression,Perk,,,Plant Collector Mod,
survivalistCraftPlantCollectorDesc,progression,Perk,,,"Purchase this perk to unlock the recipe for crafting a plant collector mod.  This mod is used in a lawn mower, which enables the capability of harvesting plants.",
survivalistCraftPlantCollectorRank1Desc,progression,Perk,,,Plant Collector Mod,
survivalistCraftPlantCollectorRank1LongDesc,progression,Perk,,,"Unlocks the recipe for crafting a plant collector mod.",
survivalistCraftCropsCollectorName,progression,Perk,,,Crops Collector Mod,
survivalistCraftCropsCollectorDesc,progression,Perk,,,"Purchase this perk to unlock the crops collector mod.  This mod is used in a lawn mower, which enables the ability to harvest your crops with the lawn mower.",
survivalistCraftCropsCollectorRank1Desc,progression,Perk,,,Crops Collector Mod,
